year,US_P Rate,country
1985,4666.4,United States
1986,4881.8,United States
1987,4963,United States
1988,5054,United States
1989,5107.1,United States
1990,5073.1,United States
1991,5140.2,United States
1992,4903.7,United States
1993,4740,United States
1994,4660.2,United States
1995,4590.5,United States
1996,4451,United States
1997,4316.5,United States
1998,4052.5,United States
1999,3743.6,United States
2000,3618.3,United States
2001,3658.1,United States
2002,3630.6,United States
2003,3591.2,United States
2004,3514.1,United States
2005,3431.5,United States
2006,3346.6,United States
2007,3276.4,United States
2008,3214.6,United States
2009,3041.3,United States
2010,2945.9,United States
2011,2905.4,United States
2012,2868,United States
2013,2733.6,United States
2014,2574.1,United States
2015,2500.5,United States
2016,2451.6,United States
2017,2362.9,United States
2018,2209.8,United States
2019,2130.6,United States
2020,1958.2,United States
